ts,meter_serial,import_kwh,export_kwh
2026-01-01 04:00:00,BESS_02,0.0,17.896
2026-01-01 04:00:00,BESS_03,0.0,16.248
2026-01-01 04:00:00,BESS_04,0.0,14.901
2026-01-01 04:00:00,SOLAR_01,0.0,27.558
2026-01-01 04:00:00,SOLAR_02,0.0,33.28
2026-01-01 04:00:00,SOLAR_03,0.0,25.904
2026-01-01 04:00:00,SOLAR_04,0.0,34.673
2026-01-01 04:00:00,SELF_01,14.051,0.0
2026-01-01 04:00:00,GRID_01,0.0,171.961
2026-01-01 04:00:00,DEST_01,168.523,0.0
2026-01-01 04:30:00,BESS_01,0.0,18.348
2026-01-01 04:30:00,BESS_02,0.0,19.695
2026-01-01 04:30:00,BESS_03,0.0,17.686
2026-01-01 04:30:00,BESS_04,0.0,17.896
2026-01-01 04:30:00,SOLAR_01,0.0,31.596
2026-01-01 04:30:00,SOLAR_02,0.0,35.644
2026-01-01 04:30:00,SOLAR_03,0.0,28.093
2026-01-01 04:30:00,SOLAR_04,0.0,37.111
2026-01-01 04:30:00,SELF_01,15.992,0.0
2026-01-01 04:30:00,GRID_01,0.0,190.076
2026-01-01 04:30:00,DEST_01,186.275,0.0
2026-01-01 05:00:00,BESS_01,0.0,20.192
2026-01-01 05:00:00,BESS_02,0.0,20.822
2026-01-01 05:00:00,BESS_03,0.0,19.45
2026-01-01 05:00:00,BESS_04,0.0,20.888
2026-01-01 05:00:00,SOLAR_01,0.0,35.713
2026-01-01 05:00:00,SOLAR_02,0.0,41.528
2026-01-01 05:00:00,SOLAR_03,0.0,33.536
2026-01-01 05:00:00,SOLAR_04,0.0,39.157
2026-01-01 05:00:00,SELF_01,18.074,0.0
2026-01-01 05:00:00,GRID_01,0.0,213.212
2026-01-01 05:00:00,DEST_01,208.947,0.0
2026-01-01 05:30:00,BESS_01,0.0,22.266
2026-01-01 05:30:00,BESS_02,0.0,22.356
2026-01-01 05:30:00,BESS_03,0.0,21.731
2026-01-01 05:30:00,BESS_04,0.0,22.111
2026-01-01 05:30:00,SOLAR_01,0.0,39.452
2026-01-01 05:30:00,SOLAR_02,0.0,45.343
2026-01-01 05:30:00,SOLAR_03,0.0,39.351
2026-01-01 05:30:00,SOLAR_04,0.0,44.661
2026-01-01 05:30:00,SELF_01,19.469,0.0
2026-01-01 05:30:00,GRID_01,0.0,237.802
2026-01-01 05:30:00,DEST_01,233.045,0.0
2026-01-01 06:00:00,BESS_01,0.0,23.623
2026-01-01 06:00:00,BESS_02,0.0,25.181
2026-01-01 06:00:00,BESS_03,0.0,24.473
2026-01-01 06:00:00,BESS_04,0.0,23.708
2026-01-01 06:00:00,SOLAR_01,0.0,44.007
2026-01-01 06:00:00,SOLAR_02,0.0,49.779
2026-01-01 06:00:00,SOLAR_03,0.0,41.962
2026-01-01 06:00:00,SOLAR_04,0.0,49.711
2026-01-01 06:00:00,SELF_01,21.278,0.0
2026-01-01 06:00:00,GRID_01,0.0,261.167
2026-01-01 06:00:00,DEST_01,255.941,0.0
2026-01-01 06:30:00,BESS_01,0.0,25.684
2026-01-01 06:30:00,BESS_02,0.0,26.182
2026-01-01 06:30:00,BESS_03,0.0,26.121
2026-01-01 06:30:00,BESS_04,0.0,24.747
2026-01-01 06:30:00,SOLAR_01,0.0,49.724
2026-01-01 06:30:00,SOLAR_02,0.0,55.294
2026-01-01 06:30:00,SOLAR_03,0.0,47.289
2026-01-01 06:30:00,SOLAR_04,0.0,52.941
2026-01-01 06:30:00,SELF_01,22.365,0.0
2026-01-01 06:30:00,GRID_01,0.0,285.617
2026-01-01 06:30:00,DEST_01,279.9,0.0
2026-01-01 07:00:00,BESS_01,0.0,28.578
2026-01-01 07:00:00,BESS_02,0.0,27.354
2026-01-01 07:00:00,BESS_03,0.0,28.093
2026-01-01 07:00:00,BESS_04,0.0,25.886
2026-01-01 07:00:00,SOLAR_01,0.0,54.766
2026-01-01 07:00:00,SOLAR_02,0.0,60.357
2026-01-01 07:00:00,SOLAR_03,0.0,49.803
2026-01-01 07:00:00,SOLAR_04,0.0,56.842
2026-01-01 07:00:00,SELF_01,24.189,0.0
2026-01-01 07:00:00,GRID_01,0.0,307.488
2026-01-01 07:00:00,DEST_01,301.335,0.0
2026-01-01 07:30:00,BESS_01,0.0,31.323
2026-01-01 07:30:00,BESS_02,0.0,29.2
2026-01-01 07:30:00,BESS_03,0.0,29.516
2026-01-01 07:30:00,BESS_04,0.0,27.964
2026-01-01 07:30:00,SOLAR_01,0.0,59.686
2026-01-01 07:30:00,SOLAR_02,0.0,63.161
2026-01-01 07:30:00,SOLAR_03,0.0,53.049
2026-01-01 07:30:00,SOLAR_04,0.0,62.823
2026-01-01 07:30:00,SELF_01,26.164,0.0
2026-01-01 07:30:00,GRID_01,0.0,330.559
2026-01-01 07:30:00,DEST_01,323.944,0.0
2026-01-01 08:00:00,BESS_01,0.0,33.358
2026-01-01 08:00:00,BESS_02,0.0,30.442
2026-01-01 08:00:00,BESS_03,0.0,30.966
2026-01-01 08:00:00,BESS_04,0.0,29.64
2026-01-01 08:00:00,SOLAR_01,0.0,64.039
2026-01-01 08:00:00,SOLAR_02,0.0,66.082
2026-01-01 08:00:00,SOLAR_03,0.0,55.93
2026-01-01 08:00:00,SOLAR_04,0.0,65.107
2026-01-01 08:00:00,SELF_01,28.111,0.0
2026-01-01 08:00:00,GRID_01,0.0,347.453
2026-01-01 08:00:00,DEST_01,340.502,0.0
2026-01-01 08:30:00,BESS_01,0.0,36.169
2026-01-01 08:30:00,BESS_02,0.0,33.161
2026-01-01 08:30:00,BESS_03,0.0,32.107
2026-01-01 08:30:00,BESS_04,0.0,31.116
2026-01-01 08:30:00,SOLAR_01,0.0,68.715
2026-01-01 08:30:00,SOLAR_02,0.0,68.939
2026-01-01 08:30:00,SOLAR_03,0.0,58.46
2026-01-01 08:30:00,SOLAR_04,0.0,70.849
2026-01-01 08:30:00,SELF_01,29.967,0.0
2026-01-01 08:30:00,GRID_01,0.0,369.549
2026-01-01 08:30:00,DEST_01,362.156,0.0
2026-01-01 09:00:00,BESS_01,0.0,38.738
2026-01-01 09:00:00,BESS_02,0.0,35.776
2026-01-01 09:00:00,BESS_03,0.0,33.488
2026-01-01 09:00:00,BESS_04,0.0,32.31
2026-01-01 09:00:00,SOLAR_01,0.0,72.439
2026-01-01 09:00:00,SOLAR_02,0.0,72.633
2026-01-01 09:00:00,SOLAR_03,0.0,62.328
2026-01-01 09:00:00,SOLAR_04,0.0,75.765
2026-01-01 09:00:00,SELF_01,31.977,0.0
2026-01-01 09:00:00,GRID_01,0.0,391.5
2026-01-01 09:00:00,DEST_01,383.667,0.0
2026-01-01 09:30:00,BESS_01,0.0,39.935
2026-01-01 09:30:00,BESS_02,0.0,37.581
2026-01-01 09:30:00,BESS_03,0.0,35.167
2026-01-01 09:30:00,BESS_04,0.0,35.034
2026-01-01 09:30:00,SOLAR_01,0.0,75.434
2026-01-01 09:30:00,SOLAR_02,0.0,75.394
2026-01-01 09:30:00,SOLAR_03,0.0,66.122
2026-01-01 09:30:00,SOLAR_04,0.0,79.452
2026-01-01 09:30:00,SELF_01,33.395,0.0
2026-01-01 09:30:00,GRID_01,0.0,410.724
2026-01-01 09:30:00,DEST_01,402.507,0.0
2026-01-01 10:00:00,BESS_01,0.0,42.781
2026-01-01 10:00:00,BESS_02,0.0,39.468
2026-01-01 10:00:00,BESS_03,0.0,37.89
2026-01-01 10:00:00,BESS_04,0.0,37.134
2026-01-01 10:00:00,SOLAR_01,0.0,77.636
2026-01-01 10:00:00,SOLAR_02,0.0,81.391
2026-01-01 10:00:00,SOLAR_03,0.0,71.466
2026-01-01 10:00:00,SOLAR_04,0.0,85.328
2026-01-01 10:00:00,SELF_01,35.785,0.0
2026-01-01 10:00:00,GRID_01,0.0,437.31
2026-01-01 10:00:00,DEST_01,428.56,0.0
2026-01-01 10:30:00,BESS_01,0.0,44.114
2026-01-01 10:30:00,BESS_02,0.0,41.439
2026-01-01 10:30:00,BESS_03,0.0,39.317
2026-01-01 10:30:00,BESS_04,0.0,38.936
2026-01-01 10:30:00,SOLAR_01,0.0,79.871
2026-01-01 10:30:00,SOLAR_02,0.0,84.907
2026-01-01 10:30:00,SOLAR_03,0.0,77.407
2026-01-01 10:30:00,SOLAR_04,0.0,88.389
2026-01-01 10:30:00,SELF_01,37.961,0.0
2026-01-01 10:30:00,GRID_01,0.0,456.42
2026-01-01 10:30:00,DEST_01,447.288,0.0
2026-01-01 11:00:00,BESS_01,0.0,45.96
2026-01-01 11:00:00,BESS_02,0.0,44.354
2026-01-01 11:00:00,BESS_03,0.0,42.308
2026-01-01 11:00:00,BESS_04,0.0,41.048
2026-01-01 11:00:00,SOLAR_01,0.0,84.744
2026-01-01 11:00:00,SOLAR_02,0.0,87.526
2026-01-01 11:00:00,SOLAR_03,0.0,80.594
2026-01-01 11:00:00,SOLAR_04,0.0,94.264
2026-01-01 11:00:00,SELF_01,39.83,0.0
2026-01-01 11:00:00,GRID_01,0.0,480.969
2026-01-01 11:00:00,DEST_01,471.346,0.0
2026-01-01 11:30:00,BESS_01,0.0,48.456
2026-01-01 11:30:00,BESS_02,0.0,45.468
2026-01-01 11:30:00,BESS_03,0.0,44.476
2026-01-01 11:30:00,BESS_04,0.0,43.054
2026-01-01 11:30:00,SOLAR_01,0.0,90.155
2026-01-01 11:30:00,SOLAR_02,0.0,90.156
2026-01-01 11:30:00,SOLAR_03,0.0,86.437
2026-01-01 11:30:00,SOLAR_04,0.0,96.585
2026-01-01 11:30:00,SELF_01,41.108,0.0
2026-01-01 11:30:00,GRID_01,0.0,503.679
2026-01-01 11:30:00,DEST_01,493.601,0.0
2026-01-01 12:00:00,BESS_01,0.0,50.806
2026-01-01 12:00:00,BESS_02,0.0,46.938
2026-01-01 12:00:00,BESS_03,0.0,45.716
2026-01-01 12:00:00,BESS_04,0.0,45.834
2026-01-01 12:00:00,SOLAR_01,0.0,93.14
2026-01-01 12:00:00,SOLAR_02,0.0,94.534
2026-01-01 12:00:00,SOLAR_03,0.0,90.915
2026-01-01 12:00:00,SOLAR_04,0.0,100.261
2026-01-01 12:00:00,SELF_01,42.984,0.0
2026-01-01 12:00:00,GRID_01,0.0,525.162
2026-01-01 12:00:00,DEST_01,514.654,0.0
2026-01-01 12:30:00,BESS_01,0.0,53.676
2026-01-01 12:30:00,BESS_02,0.0,48.347
2026-01-01 12:30:00,BESS_03,0.0,48.148
2026-01-01 12:30:00,BESS_04,0.0,47.312
2026-01-01 12:30:00,SOLAR_01,0.0,96.723
2026-01-01 12:30:00,SOLAR_02,0.0,99.221
2026-01-01 12:30:00,SOLAR_03,0.0,94.115
2026-01-01 12:30:00,SOLAR_04,0.0,103.526
2026-01-01 12:30:00,SELF_01,45.112,0.0
2026-01-01 12:30:00,GRID_01,0.0,545.956
2026-01-01 12:30:00,DEST_01,535.034,0.0
2026-01-01 13:00:00,BESS_01,0.0,55.592
2026-01-01 13:00:00,BESS_02,0.0,51.344
2026-01-01 13:00:00,BESS_03,0.0,51.141
2026-01-01 13:00:00,BESS_04,0.0,48.458
2026-01-01 13:00:00,SOLAR_01,0.0,99.576
2026-01-01 13:00:00,SOLAR_02,0.0,102.282
2026-01-01 13:00:00,SOLAR_03,0.0,99.848
2026-01-01 13:00:00,SOLAR_04,0.0,109.05
2026-01-01 13:00:00,SELF_01,47.431,0.0
2026-01-01 13:00:00,GRID_01,0.0,569.859
2026-01-01 13:00:00,DEST_01,558.46,0.0
2026-01-01 13:30:00,BESS_01,0.0,56.908
2026-01-01 13:30:00,BESS_02,0.0,54.011
2026-01-01 13:30:00,BESS_03,0.0,53.548
2026-01-01 13:30:00,BESS_04,0.0,50.681
2026-01-01 13:30:00,SOLAR_01,0.0,105.525
2026-01-01 13:30:00,SOLAR_02,0.0,106.897
2026-01-01 13:30:00,SOLAR_03,0.0,101.879
2026-01-01 13:30:00,SOLAR_04,0.0,114.318
2026-01-01 13:30:00,SELF_01,48.88,0.0
2026-01-01 13:30:00,GRID_01,0.0,594.888
2026-01-01 13:30:00,DEST_01,582.987,0.0
2026-01-01 14:00:00,BESS_01,0.0,59.786
2026-01-01 14:00:00,BESS_02,0.0,55.28
2026-01-01 14:00:00,BESS_03,0.0,54.779
2026-01-01 14:00:00,BESS_04,0.0,51.896
2026-01-01 14:00:00,SOLAR_01,0.0,109.738
2026-01-01 14:00:00,SOLAR_02,0.0,109.987
2026-01-01 14:00:00,SOLAR_03,0.0,106.299
2026-01-01 14:00:00,SOLAR_04,0.0,119.188
2026-01-01 14:00:00,SELF_01,50.185,0.0
2026-01-01 14:00:00,GRID_01,0.0,616.766
2026-01-01 14:00:00,DEST_01,604.427,0.0
2026-01-01 14:30:00,BESS_01,0.0,61.314
2026-01-01 14:30:00,BESS_02,0.0,57.257
2026-01-01 14:30:00,BESS_03,0.0,57.589
2026-01-01 14:30:00,BESS_04,0.0,54.588
2026-01-01 14:30:00,SOLAR_01,0.0,112.107
2026-01-01 14:30:00,SOLAR_02,0.0,113.681
2026-01-01 14:30:00,SOLAR_03,0.0,109.405
2026-01-01 14:30:00,SOLAR_04,0.0,121.203
2026-01-01 14:30:00,SELF_01,52.342,0.0
2026-01-01 14:30:00,GRID_01,0.0,634.802
2026-01-01 14:30:00,DEST_01,622.101,0.0
2026-01-01 15:00:00,BESS_01,0.0,62.837
2026-01-01 15:00:00,BESS_02,0.0,59.739
2026-01-01 15:00:00,BESS_03,0.0,59.693
2026-01-01 15:00:00,BESS_04,0.0,56.443
2026-01-01 15:00:00,SOLAR_01,0.0,114.146
2026-01-01 15:00:00,SOLAR_02,0.0,115.982
2026-01-01 15:00:00,SOLAR_03,0.0,114.938
2026-01-01 15:00:00,SOLAR_04,0.0,126.818
2026-01-01 15:00:00,SELF_01,54.16,0.0
2026-01-01 15:00:00,GRID_01,0.0,656.436
2026-01-01 15:00:00,DEST_01,643.301,0.0
2026-01-01 15:30:00,BESS_01,0.0,65.002
2026-01-01 15:30:00,BESS_02,0.0,61.036
2026-01-01 15:30:00,BESS_03,0.0,60.948
2026-01-01 15:30:00,BESS_04,0.0,58.06
2026-01-01 15:30:00,SOLAR_01,0.0,119.742
2026-01-01 15:30:00,SOLAR_02,0.0,121.167
2026-01-01 15:30:00,SOLAR_03,0.0,120.381
2026-01-01 15:30:00,SOLAR_04,0.0,132.414
2026-01-01 15:30:00,SELF_01,55.475,0.0
2026-01-01 15:30:00,GRID_01,0.0,683.273
2026-01-01 15:30:00,DEST_01,669.602,0.0
2026-01-01 16:00:00,BESS_01,0.0,66.208
2026-01-01 16:00:00,BESS_02,0.0,63.596
2026-01-01 16:00:00,BESS_03,0.0,63.716
2026-01-01 16:00:00,BESS_04,0.0,59.872
2026-01-01 16:00:00,SOLAR_01,0.0,124.224
2026-01-01 16:00:00,SOLAR_02,0.0,123.785
2026-01-01 16:00:00,SOLAR_03,0.0,126.1
2026-01-01 16:00:00,SOLAR_04,0.0,137.872
2026-01-01 16:00:00,SELF_01,57.94,0.0
2026-01-01 16:00:00,GRID_01,0.0,707.434
2026-01-01 16:00:00,DEST_01,693.279,0.0
2026-01-01 16:30:00,BESS_01,0.0,68.971
2026-01-01 16:30:00,BESS_02,0.0,64.645
2026-01-01 16:30:00,BESS_03,0.0,66.189
2026-01-01 16:30:00,BESS_04,0.0,61.537
2026-01-01 16:30:00,SOLAR_01,0.0,129.947
2026-01-01 16:30:00,SOLAR_02,0.0,128.994
2026-01-01 16:30:00,SOLAR_03,0.0,131.556
2026-01-01 16:30:00,SOLAR_04,0.0,143.115
2026-01-01 16:30:00,SELF_01,59.34,0.0
2026-01-01 16:30:00,GRID_01,0.0,735.615
2026-01-01 16:30:00,DEST_01,720.895,0.0
2026-01-01 17:00:00,BESS_01,0.0,70.187
2026-01-01 17:00:00,BESS_02,0.0,67.39
2026-01-01 17:00:00,BESS_03,0.0,68.906
2026-01-01 17:00:00,BESS_04,0.0,62.982
2026-01-01 17:00:00,SOLAR_01,0.0,135.214
2026-01-01 17:00:00,SOLAR_02,0.0,132.835
2026-01-01 17:00:00,SOLAR_03,0.0,134.777
2026-01-01 17:00:00,SOLAR_04,0.0,148.297
2026-01-01 17:00:00,SELF_01,60.681,0.0
2026-01-01 17:00:00,GRID_01,0.0,759.906
2026-01-01 17:00:00,DEST_01,744.702,0.0
2026-01-01 17:30:00,BESS_01,0.0,71.573
2026-01-01 17:30:00,BESS_02,0.0,69.046
2026-01-01 17:30:00,BESS_03,0.0,71.635
2026-01-01 17:30:00,BESS_04,0.0,65.915
2026-01-01 17:30:00,SOLAR_01,0.0,138.33
2026-01-01 17:30:00,SOLAR_02,0.0,137.401
2026-01-01 17:30:00,SOLAR_03,0.0,138.376
2026-01-01 17:30:00,SOLAR_04,0.0,154.221
2026-01-01 17:30:00,SELF_01,62.485,0.0
2026-01-01 17:30:00,GRID_01,0.0,784.013
2026-01-01 17:30:00,DEST_01,768.324,0.0
2026-01-01 18:00:00,BESS_01,0.0,72.804
2026-01-01 18:00:00,BESS_02,0.0,71.987
2026-01-01 18:00:00,BESS_03,0.0,72.992
2026-01-01 18:00:00,BESS_04,0.0,68.84
2026-01-01 18:00:00,SOLAR_01,0.0,141.392
2026-01-01 18:00:00,SOLAR_02,0.0,139.835
2026-01-01 18:00:00,SOLAR_03,0.0,142.114
2026-01-01 18:00:00,SOLAR_04,0.0,159.136
2026-01-01 18:00:00,SELF_01,63.956,0.0
2026-01-01 18:00:00,GRID_01,0.0,805.144
2026-01-01 18:00:00,DEST_01,789.032,0.0
2026-01-01 18:30:00,BESS_01,0.0,74.827
2026-01-01 18:30:00,BESS_02,0.0,73.757
2026-01-01 18:30:00,BESS_03,0.0,75.145
2026-01-01 18:30:00,BESS_04,0.0,70.35
2026-01-01 18:30:00,SOLAR_01,0.0,146.227
2026-01-01 18:30:00,SOLAR_02,0.0,141.841
2026-01-01 18:30:00,SOLAR_03,0.0,147.816
2026-01-01 18:30:00,SOLAR_04,0.0,163.289
2026-01-01 18:30:00,SELF_01,66.035,0.0
2026-01-01 18:30:00,GRID_01,0.0,827.219
2026-01-01 18:30:00,DEST_01,810.664,0.0
2026-01-01 19:00:00,BESS_01,0.0,77.168
2026-01-01 19:00:00,BESS_02,0.0,75.486
2026-01-01 19:00:00,BESS_03,0.0,76.285
2026-01-01 19:00:00,BESS_04,0.0,72.678
2026-01-01 19:00:00,SOLAR_01,0.0,149.548
2026-01-01 19:00:00,SOLAR_02,0.0,145.097
2026-01-01 19:00:00,SOLAR_03,0.0,153.208
2026-01-01 19:00:00,SOLAR_04,0.0,168.168
2026-01-01 19:00:00,SELF_01,67.486,0.0
2026-01-01 19:00:00,GRID_01,0.0,850.154
2026-01-01 19:00:00,DEST_01,833.141,0.0
2026-01-01 19:30:00,BESS_01,0.0,78.985
2026-01-01 19:30:00,BESS_02,0.0,77.291
2026-01-01 19:30:00,BESS_03,0.0,77.876
2026-01-01 19:30:00,BESS_04,0.0,73.933
2026-01-01 19:30:00,SOLAR_01,0.0,153.23
2026-01-01 19:30:00,SOLAR_02,0.0,150.858
2026-01-01 19:30:00,SOLAR_03,0.0,157.918
2026-01-01 19:30:00,SOLAR_04,0.0,173.78
2026-01-01 19:30:00,SELF_01,69.409,0.0
2026-01-01 19:30:00,GRID_01,0.0,874.462
2026-01-01 19:30:00,DEST_01,856.964,0.0
2026-01-01 20:00:00,BESS_01,0.0,81.081
2026-01-01 20:00:00,BESS_02,0.0,78.291
2026-01-01 20:00:00,BESS_03,0.0,79.45
2026-01-01 20:00:00,BESS_04,0.0,75.793
2026-01-01 20:00:00,SOLAR_01,0.0,157.55
2026-01-01 20:00:00,SOLAR_02,0.0,155.477
2026-01-01 20:00:00,SOLAR_03,0.0,161.778
2026-01-01 20:00:00,SOLAR_04,0.0,177.548
2026-01-01 20:00:00,SELF_01,70.729,0.0
2026-01-01 20:00:00,GRID_01,0.0,896.239
2026-01-01 20:00:00,DEST_01,878.306,0.0
2026-01-01 20:30:00,BESS_01,0.0,83.883
2026-01-01 20:30:00,BESS_02,0.0,80.884
2026-01-01 20:30:00,BESS_03,0.0,80.79
2026-01-01 20:30:00,BESS_04,0.0,76.962
2026-01-01 20:30:00,SOLAR_01,0.0,161.612
2026-01-01 20:30:00,SOLAR_02,0.0,160.009
2026-01-01 20:30:00,SOLAR_03,0.0,165.118
2026-01-01 20:30:00,SOLAR_04,0.0,182.822
2026-01-01 20:30:00,SELF_01,72.856,0.0
2026-01-01 20:30:00,GRID_01,0.0,919.224
2026-01-01 20:30:00,DEST_01,900.83,0.0
2026-01-01 21:00:00,BESS_01,0.0,85.332
2026-01-01 21:00:00,BESS_02,0.0,82.282
2026-01-01 21:00:00,BESS_03,0.0,81.838
2026-01-01 21:00:00,BESS_04,0.0,78.452
2026-01-01 21:00:00,SOLAR_01,0.0,165.512
2026-01-01 21:00:00,SOLAR_02,0.0,165.408
2026-01-01 21:00:00,SOLAR_03,0.0,167.41
2026-01-01 21:00:00,SOLAR_04,0.0,186.48
2026-01-01 21:00:00,SELF_01,74.801,0.0
2026-01-01 21:00:00,GRID_01,0.0,937.914
2026-01-01 21:00:00,DEST_01,919.147,0.0
2026-01-01 21:30:00,BESS_01,0.0,87.725
2026-01-01 21:30:00,BESS_02,0.0,84.271
2026-01-01 21:30:00,BESS_03,0.0,83.326
2026-01-01 21:30:00,BESS_04,0.0,80.764
2026-01-01 21:30:00,SOLAR_01,0.0,167.534
2026-01-01 21:30:00,SOLAR_02,0.0,170.412
2026-01-01 21:30:00,SOLAR_03,0.0,172.49
2026-01-01 21:30:00,SOLAR_04,0.0,188.906
2026-01-01 21:30:00,SELF_01,76.439,0.0
2026-01-01 21:30:00,GRID_01,0.0,958.99
2026-01-01 21:30:00,DEST_01,939.803,0.0
2026-01-01 22:00:00,BESS_01,0.0,90.641
2026-01-01 22:00:00,BESS_02,0.0,86.306
2026-01-01 22:00:00,BESS_03,0.0,84.427
2026-01-01 22:00:00,BESS_04,0.0,82.263
2026-01-01 22:00:00,SOLAR_01,0.0,172.928
2026-01-01 22:00:00,SOLAR_02,0.0,174.238
2026-01-01 22:00:00,SOLAR_03,0.0,177.696
2026-01-01 22:00:00,SOLAR_04,0.0,193.576
2026-01-01 22:00:00,SELF_01,78.92,0.0
2026-01-01 22:00:00,GRID_01,0.0,983.154
2026-01-01 22:00:00,DEST_01,963.483,0.0
2026-01-01 22:30:00,BESS_01,0.0,93.541
2026-01-01 22:30:00,BESS_02,0.0,89.089
2026-01-01 22:30:00,BESS_03,0.0,86.652
2026-01-01 22:30:00,BESS_04,0.0,84.701
2026-01-01 22:30:00,SOLAR_01,0.0,176.947
2026-01-01 22:30:00,SOLAR_02,0.0,179.56
2026-01-01 22:30:00,SOLAR_03,0.0,181.887
2026-01-01 22:30:00,SOLAR_04,0.0,199.165
2026-01-01 22:30:00,SELF_01,81.036,0.0
2026-01-01 22:30:00,GRID_01,0.0,1010.507
2026-01-01 22:30:00,DEST_01,990.289,0.0
2026-01-01 23:00:00,BESS_01,0.0,95.06
2026-01-01 23:00:00,BESS_02,0.0,90.584
2026-01-01 23:00:00,BESS_03,0.0,88.927
2026-01-01 23:00:00,BESS_04,0.0,87.233
2026-01-01 23:00:00,SOLAR_01,0.0,181.032
2026-01-01 23:00:00,SOLAR_02,0.0,184.067
2026-01-01 23:00:00,SOLAR_03,0.0,184.985
2026-01-01 23:00:00,SOLAR_04,0.0,201.475
